player_id,player_name,matches_played,total_minutes_played,total_passes,passes_per90,total_shot_assists,total_goal_assists,shot_assists_per90,goal_assists_per90
6993.0,Bryan Cristante,1,77.15,62,72.33,2,0,2.33,0.0
8181.0,Nicolò Barella,1,66.43,29,39.29,0,0,0.0,0.0
6963.0,Lorenzo Pellegrini,1,95.05,19,17.99,1,0,0.95,0.0
30926.0,Davide Frattesi,1,95.05,2,1.89,0,0,0.0,0.0
42822.0,András Schäfer,3,297.45,131,39.64,0,0,0.0,0.0
31067.0,Billy Gilmour,2,165.48,101,54.93,0,0,0.0,0.0
4286.0,Callum Styles,1,61.55,26,38.02,2,0,2.92,0.0
10534.0,Callum McGregor,3,269.68,114,38.04,1,1,0.33,0.33
7162.0,Ádám Nagy,3,237.1,70,26.57,0,0,0.0,0.0
9478.0,Kenneth McLean,2,199.7,19,8.56,0,0,0.0,0.0
3961.0,N'Golo Kanté,2,196.67,114,52.17,5,0,2.29,0.0
30486.0,Pedro González López,2,134.75,54,36.07,5,1,3.34,0.67
41115.0,Alejandro Baena Rodríguez,1,98.25,8,7.33,1,0,0.92,0.0
39490.0,Luka Sučić,1,99.72,24,21.66,1,0,0.9,0.0
5456.0,Mateo Kovačić,1,99.72,98,88.45,3,0,2.71,0.0
5463.0,Luka Modrić,1,99.72,125,112.82,2,0,1.81,0.0
29531.0,Taulant Sulejmanov,1,99.72,9,8.12,1,0,0.9,0.0
9893.0,Klaus Gjasula,1,99.72,9,8.12,0,0,0.0,0.0
16502.0,László Kleinheisler,2,194.9,17,7.85,0,0,0.0,0.0
131243.0,Deniz Undav,1,95.88,2,1.88,0,0,0.0,0.0
3026.0,Adrien Rabiot,1,71.5,39,49.09,2,0,2.52,0.0
8784.0,Romano Schmid,1,100.27,8,7.18,0,0,0.0,0.0
16559.0,Leandro Trossard,1,76.52,25,29.41,1,0,1.18,0.0
32030.0,Nedim Bajrami,1,89.08,27,27.28,0,0,0.0,0.0
92611.0,Ernest Muçi,1,98.48,4,3.66,0,0,0.0,0.0
21294.0,Mykola Shaparenko,2,156.63,97,55.74,0,1,0.0,0.57
144127.0,Volodymyr Brazhko,2,181.8,61,30.2,1,0,0.5,0.0
38975.0,Georgiy Sudakov,2,180.65,79,39.36,2,0,1.0,0.0
41202.0,Giorgi Kochorashvili,2,199.57,113,50.96,0,1,0.0,0.45
264017.0,Anzor Mekvabishvili,2,190.5,81,38.27,0,0,0.0,0.0
23454.0,Petr Ševčík,1,100.72,21,18.77,0,0,0.0,0.0
135844.0,Sandro Altunashvili,1,98.85,7,6.37,0,0,0.0,0.0
5660.0,Piotr Zieliński,1,87.42,49,50.45,3,0,3.09,0.0
29480.0,Jakub Moder,1,95.25,21,19.84,0,0,0.0,0.0
33680.0,Kacper Urbanski,1,95.25,5,4.72,0,0,0.0,0.0
143859.0,João Neves,2,172.87,74,38.53,0,0,0.0,0.0
16344.0,Răzvan Gabriel Marin,2,184.83,40,19.48,1,0,0.49,0.0
34602.0,Adrián Rus,2,193.63,5,2.32,0,0,0.0,0.0
10916.0,Nicolae Claudiu Stanciu,1,97.53,27,24.91,0,0,0.0,0.0
30913.0,Marius Mihai Marin,1,97.53,28,25.84,0,0,0.0,0.0
28914.0,Lovro Majer,1,99.97,9,8.1,0,0,0.0,0.0
35242.0,Maximilian Beier,1,96.05,7,6.56,0,0,0.0,0.0
29989.0,Yusuf Yazıcı,1,96.03,15,14.06,0,0,0.0,0.0
5589.0,Sergej Milinković-Savić,2,193.77,67,31.12,1,0,0.46,0.0
6319.0,Luka Jović,1,97.45,5,4.62,1,0,0.92,0.0
40735.0,Lazar Samardžić,1,97.45,10,9.24,0,0,0.0,0.0
3533.0,Xherdan Shaqiri,1,61.73,31,45.19,0,0,0.0,0.0
3620.0,Scott McTominay,2,194.35,43,19.91,2,0,0.93,0.0
7801.0,Antonín Barák,1,96.07,8,7.49,0,0,0.0,0.0
39624.0,Francisco Fernandes Conceição,1,96.07,1,0.94,0,0,0.0,0.0
3831.0,Dušan Tadić,1,96.32,15,14.02,0,0,0.0,0.0
3043.0,Christian Dannemann Eriksen,1,95.48,66,62.21,7,0,6.6,0.0
3097.0,Pascal Groß,1,97.2,70,64.81,0,0,0.0,0.0
