player_id,player_name,position_id,position_name,appearances
8506,Konrad Laimer,9,Right Defensive Midfield,1
8506,Konrad Laimer,19,Center Attacking Midfield,1
12555,Okay Yokuşlu,9,Right Defensive Midfield,1
30714,Jude Bellingham,11,Left Defensive Midfield,1
8621,Morten Hjulmand,11,Left Defensive Midfield,1
8784,Romano Schmid,9,Right Defensive Midfield,1
9478,Kenneth McLean,9,Right Defensive Midfield,1
9893,Klaus Gjasula,9,Right Defensive Midfield,1
9927,Rúben Diogo Da Silva Neves,9,Right Defensive Midfield,1
2954,Youri Tielemans,11,Left Defensive Midfield,1
10919,Juraj Kucka,9,Right Defensive Midfield,1
10916,Nicolae Claudiu Stanciu,19,Center Attacking Midfield,1
18797,Ryan Porteous,19,Center Attacking Midfield,1
21261,Jonas Older Wind,19,Center Attacking Midfield,1
7531,Qazim Laçi,19,Center Attacking Midfield,1
7097,Christian Nørgaard,11,Left Defensive Midfield,1
5562,Thomas Müller,19,Center Attacking Midfield,1
5660,Piotr Zieliński,9,Right Defensive Midfield,1
6319,Luka Jović,19,Center Attacking Midfield,1
29480,Jakub Moder,11,Left Defensive Midfield,1
29480,Jakub Moder,9,Right Defensive Midfield,1
29399,Conor Gallagher,11,Left Defensive Midfield,1
6655,Fabián Ruiz Peña,9,Right Defensive Midfield,1
28914,Lovro Majer,19,Center Attacking Midfield,1
6687,Saša Lukić,9,Right Defensive Midfield,1
28034,Lukáš Provod,9,Right Defensive Midfield,1
6765,Rodrigo Hernández Cascante,11,Left Defensive Midfield,1
6798,Stanislav Lobotka,11,Left Defensive Midfield,1
23454,Petr Ševčík,11,Left Defensive Midfield,1
6963,Lorenzo Pellegrini,11,Left Defensive Midfield,1
22212,Orkun Kökçü,9,Right Defensive Midfield,1
21633,Joey Veerman,19,Center Attacking Midfield,1
21582,Tijjani Reijnders,19,Center Attacking Midfield,1
264017,Anzor Mekvabishvili,11,Left Defensive Midfield,1
